State,Law,Intervention,InterventionYear,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CT,expartesurrender,implemented,2016,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,expartesurrenderdating,implemented,2016,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,expartesurrendernoconditions,implemented,2016,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
DE,ccbackground,implemented,2002,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,stalking,removal,2003,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,dvrodating,implemented,2007,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,stalking,implemented,2008,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,backgroundpurge,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,gunshow,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,gunshowh,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,loststolen,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,mentalhealth,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,recordsall,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,recordsallh,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,universal,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,universalh,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,universalpermit,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,universalpermith,implemented,2013,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,invoutpatient,implemented,2014,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
DE,threedaylimit,implemented,2016,38,39,52,29,42,36,42,42,46,41,33,43,36,46,60,59,55,59
FL,immunity,removal,2001,1136,1186,1197,1205,1242,1197,1163,1227,1284,1397,1472,1454,1490,1550,1566,1538,1630,1672
FL,ammrestrict,implemented,2004,1136,1186,1197,1205,1242,1197,1163,1227,1284,1397,1472,1454,1490,1550,1566,1538,1630,1672
FL,nosyg,removal,2005,1136,1186,1197,1205,1242,1197,1163,1227,1284,1397,1472,1454,1490,1550,1566,1538,1630,1672
GA,ccbackgroundnics,implemented,2006,628,588,626,614,656,605,590,600,641,616,743,718,742,750,747,841,823,871
GA,nosyg,removal,2006,628,588,626,614,656,605,590,600,641,616,743,718,742,750,747,841,823,871
GA,college,removal,2014,628,588,626,614,656,605,590,600,641,616,743,718,742,750,747,841,823,871
GA,collegeconcealed,removal,2014,628,588,626,614,656,605,590,600,641,616,743,718,742,750,747,841,823,871
GA,dealerh,removal,2014,628,588,626,614,656,605,590,600,641,616,743,718,742,750,747,841,823,871
GA,elementary,removal,2014,628,588,626,614,656,605,590,600,641,616,743,718,742,750,747,841,823,871
GA,recordsdealerh,removal,2014,628,588,626,614,656,605,590,600,641,616,743,718,742,750,747,841,823,871
HI,dvrodating,implemented,2000,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,dvrosurrenderdating,implemented,2000,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,expartedating,implemented,2000,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,expartesurrenderdating,implemented,2000,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,mcdvremovalallowed,implemented,2000,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,relinquishment,implemented,2000,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,backgroundpurge,implemented,2006,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,ccbackground,implemented,2006,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,ccbackgroundnics,implemented,2006,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,ccrenewbackground,implemented,2006,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,statechecks,implemented,2006,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,statechecksh,implemented,2006,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,threedaylimit,implemented,2006,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,incidentremoval,implemented,2012,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
HI,stalking,implemented,2016,22,28,25,20,22,26,21,16,26,27,31,33,33,39,23,29,37,34
IA,dvro,implemented,2010,160,157,157,157,178,155,170,149,133,180,160,168,185,175,221,194,193,228
IA,dvrosurrender,implemented,2010,160,157,157,157,178,155,170,149,133,180,160,168,185,175,221,194,193,228
IA,mcdv,implemented,2010,160,157,157,157,178,155,170,149,133,180,160,168,185,175,221,194,193,228
IA,mcdvsurrender,implemented,2010,160,157,157,157,178,155,170,149,133,180,160,168,185,175,221,194,193,228
IA,ccbackgroundnics,implemented,2011,160,157,157,157,178,155,170,149,133,180,160,168,185,175,221,194,193,228
IA,ccrevoke,implemented,2011,160,157,157,157,178,155,170,149,133,180,160,168,185,175,221,194,193,228
IA,mayissue,removal,2011,160,157,157,157,178,155,170,149,133,180,160,168,185,175,221,194,193,228
ID,elementary,implemented,2000,125,107,136,137,137,151,160,145,147,149,176,182,167,176,200,182,215,215
ID,preemptionbroad,removal,2008,125,107,136,137,137,151,160,145,147,149,176,182,167,176,200,182,215,215
ID,preemptionnarrow,removal,2008,125,107,136,137,137,151,160,145,147,149,176,182,167,176,200,182,215,215
ID,ccbackgroundnics,implemented,2015,125,107,136,137,137,151,160,145,147,149,176,182,167,176,200,182,215,215
ID,ccbackground,removal,2016,125,107,136,137,137,151,160,145,147,149,176,182,167,176,200,182,215,215
ID,ccbackgroundnics,removal,2016,125,107,136,137,137,151,160,145,147,149,176,182,167,176,200,182,215,215
ID,ccrevoke,removal,2016,125,107,136,137,137,151,160,145,147,149,176,182,167,176,200,182,215,215
ID,permitconcealed,removal,2016,125,107,136,137,137,151,160,145,147,149,176,182,167,176,200,182,215,215
IL,cap14,implemented,2000,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,capuses,implemented,2000,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,traffickingprohibited,implemented,2000,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,traffickingprohibitedh,implemented,2000,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,gunshow,implemented,2005,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,gunshowh,implemented,2005,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,lockd,implemented,2006,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,exparte,implemented,2010,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,expartedating,implemented,2010,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,expartesurrender,implemented,2010,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,expartesurrenderdating,implemented,2010,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,expartesurrendernoconditions,implemented,2010,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,invoutpatient,implemented,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,loststolen,implemented,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,mayissue,removal,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,mcdvsurrender,implemented,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,mcdvsurrenderdating,implemented,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,opencarryh,removal,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,preemption,removal,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,preemptionnarrow,removal,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,relinquishment,implemented,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IL,showing,removal,2013,481,431,505,466,404,387,424,372,423,438,402,442,461,490,496,533,495,506
IN,immunity,removal,2001,368,411,411,448,418,385,416,442,392,450,458,455,411,513,523,528,517,591
IN,mcdv,implemented,2003,368,411,411,448,418,385,416,442,392,450,458,455,411,513,523,528,517,591
IN,gvrolawenforcement,implemented,2006,368,411,411,448,418,385,416,442,392,450,458,455,411,513,523,528,517,591
IN,nosyg,removal,2006,368,411,411,448,418,385,416,442,392,450,458,455,411,513,523,528,517,591
IN,traffickingprohibitedh,implemented,2014,368,411,411,448,418,385,416,442,392,450,458,455,411,513,523,528,517,591
IN,mcdvdating,implemented,2016,368,411,411,448,418,385,416,442,392,450,458,455,411,513,523,528,517,591
KS,immunity,removal,2002,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,preemption,removal,2005,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,preemptionbroad,removal,2005,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,preemptionnarrow,removal,2005,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,alctreatment,implemented,2006,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,nosyg,removal,2006,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,ccbackgroundnics,removal,2007,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,ccrenewbackground,removal,2007,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,mayissue,removal,2007,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,showing,removal,2007,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,stalking,removal,2008,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,ccrenewbackground,implemented,2010,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,danger,implemented,2010,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,elementary,removal,2010,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,invcommitment,implemented,2010,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,ccbackground,removal,2015,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,ccrenewbackground,removal,2015,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,ccrevoke,removal,2015,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KS,permitconcealed,removal,2015,166,186,160,184,211,204,188,211,213,185,200,210,233,297,241,238,224,257
KY,ccbackgroundnics,implemented,2006,334,373,331,364,400,377,373,383,422,394,403,404,453,469,453,470,499,495
KY,ccrenewbackground,implemented,2006,334,373,331,364,400,377,373,383,422,394,403,404,453,469,453,470,499,495
KY,nosyg,removal,2006,334,373,331,364,400,377,373,383,422,394,403,404,453,469,453,470,499,495
LO,nosyg,removal,2006,380,321,345,349,316,371,339,322,328,345,325,377,377,375,408,444,468,440
LO,ccbackgroundnics,implemented,2014,380,321,345,349,316,371,339,322,328,345,325,377,377,375,408,444,468,440
LO,dvro,implemented,2014,380,321,345,349,316,371,339,322,328,345,325,377,377,375,408,444,468,440
LO,dvrodating,implemented,2014,380,321,345,349,316,371,339,322,328,345,325,377,377,375,408,444,468,440
LO,mcdv,implemented,2014,380,321,345,349,316,371,339,322,328,345,325,377,377,375,408,444,468,440
MD,lockd,implemented,2000,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,microstamp,implemented,2000,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,personalized,implemented,2000,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,training,implemented,2002,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,defactoregh,implemented,2003,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,strawpurchaseh,implemented,2003,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,dvrosurrender,implemented,2009,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,dvrosurrendernoconditions,implemented,2009,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,violent,implemented,2011,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,ammrestrict,implemented,2013,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,assault,implemented,2013,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,assaultlist,implemented,2013,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,assaulttransfer,implemented,2013,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,fingerprint,implemented,2013,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,tenroundlimit,implemented,2013,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,dvrodating,implemented,2015,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,dvrosurrenderdating,implemented,2015,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
MD,microstamp,removal,2015,239,240,217,229,236,244,217,238,230,259,252,222,238,269,257,275,241,247
ME,danger,implemented,2008,87,98,86,72,66,97,100,87,90,103,106,95,113,112,137,116,124,107
ME,invcommitment,implemented,2008,87,98,86,72,66,97,100,87,90,103,106,95,113,112,137,116,124,107
ME,ccrevoke,removal,2015,87,98,86,72,66,97,100,87,90,103,106,95,113,112,137,116,124,107
ME,mcdv,implemented,2015,87,98,86,72,66,97,100,87,90,103,106,95,113,112,137,116,124,107
ME,mcdvdating,implemented,2015,87,98,86,72,66,97,100,87,90,103,106,95,113,112,137,116,124,107
ME,permitconcealed,removal,2015,87,98,86,72,66,97,100,87,90,103,106,95,113,112,137,116,124,107
MI,immunity,removal,2000,542,531,542,578,523,532,554,598,558,570,575,601,619,623,674,671,692,717
