State,Year,LawName,Switching,Assaults_-16,Assaults_-15,Assaults_-14,Assaults_-13,Assaults_-12,Assaults_-11,Assaults_-10,Assaults_-9,Assaults_-8,Assaults_-7,Assaults_-6,Assaults_-5,Assaults_-4,Assaults_-3,Assaults_-2,Assaults_-1,Current_Assaults,Assaults_1,Homicides_-16,Homicides_-15,Homicides_-14,Homicides_-13,Homicides_-12,Homicides_-11,Homicides_-10,Homicides_-9,Homicides_-8,Homicides_-7,Homicides_-6,Homicides_-5,Homicides_-4,Homicides_-3,Homicides_-2,Homicides_-1,Current_Homicides,Homicides_1,Suicides_-16,Suicides_-15,Suicides_-14,Suicides_-13,Suicides_-12,Suicides_-11,Suicides_-10,Suicides_-9,Suicides_-8,Suicides_-7,Suicides_-6,Suicides_-5,Suicides_-4,Suicides_-3,Suicides_-2,Suicides_-1,Current_Suicides,Suicides_1
AL,2015,mcdv,implemented,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,2015,purge,removal,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,2015,recordsdealerh,removal,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,2015,reportdealerh,removal,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,2015,security,removal,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AR,2013,collegeconcealed,removal,,,1761,1687,1373,1322,1510,2008,2550,2577,2565,2316,2515,2548,2518,2541,2471,2822,,,94,112,90,110,104,96,119,134,118,104,99,96,107,111,103,99,,,234,244,274,257,258,232,262,247,244,275,285,266,299,307,322,323
AR,2013,stalking,removal,,,1761,1687,1373,1322,1510,2008,2550,2577,2565,2316,2515,2548,2518,2541,2471,2822,,,94,112,90,110,104,96,119,134,118,104,99,96,107,111,103,99,,,234,244,274,257,258,232,262,247,244,275,285,266,299,307,322,323
AZ,2000,mcdv,implemented,,,,,,,,,,,,,,,,4349,4103,4105,,,,,,,,,,,,,,,,268,259,306,,,,,,,,,,,,,,,,476,489,468
AZ,2000,mcdvdating,implemented,,,,,,,,,,,,,,,,4349,4103,4105,,,,,,,,,,,,,,,,268,259,306,,,,,,,,,,,,,,,,476,489,468
AZ,2010,ccbackground,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234,,,,,,476,489,468,559,486,509,514,563,552,540,605,620,674
AZ,2010,ccrenewbackground,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234,,,,,,476,489,468,559,486,509,514,563,552,540,605,620,674
AZ,2010,ccrevoke,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234,,,,,,476,489,468,559,486,509,514,563,552,540,605,620,674
AZ,2010,nosyg,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234,,,,,,476,489,468,559,486,509,514,563,552,540,605,620,674
AZ,2010,permitconcealed,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234,,,,,,476,489,468,559,486,509,514,563,552,540,605,620,674
CA,2000,dvro,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,dvrodating,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,dvrosurrender,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,dvrosurrenderdating,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,dvrosurrendernoconditions,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,exparte,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,expartedating,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,expartesurrender,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,expartesurrenderdating,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,expartesurrendernoconditions,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,incidentremoval,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,magazine,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,onefeature,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2000,tenroundlimit,implemented,,,,,,,,,,,,,,,,19051,20981,21418,,,,,,,,,,,,,,,,1352,1507,1605,,,,,,,,,,,,,,,,1532,1487,1450
CA,2001,junkgun,implemented,,,,,,,,,,,,,,,19051,20981,21418,22889,,,,,,,,,,,,,,,1352,1507,1605,1761,,,,,,,,,,,,,,,1532,1487,1450,1490
CA,2002,immunity,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,,,,,,,,,,,,,,1352,1507,1605,1761,1794,,,,,,,,,,,,,,1532,1487,1450,1490,1505
CA,2002,lockd,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,,,,,,,,,,,,,,1352,1507,1605,1761,1794,,,,,,,,,,,,,,1532,1487,1450,1490,1505
CA,2002,lockp,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,,,,,,,,,,,,,,1352,1507,1605,1761,1794,,,,,,,,,,,,,,1532,1487,1450,1490,1505
CA,2002,lockstandards,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,,,,,,,,,,,,,,1352,1507,1605,1761,1794,,,,,,,,,,,,,,1532,1487,1450,1490,1505
CA,2002,mcdvsurrender,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,,,,,,,,,,,,,,1352,1507,1605,1761,1794,,,,,,,,,,,,,,1532,1487,1450,1490,1505
CA,2002,mcdvsurrenderdating,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,,,,,,,,,,,,,,1352,1507,1605,1761,1794,,,,,,,,,,,,,,1532,1487,1450,1490,1505
CA,2002,mcdvsurrendernoconditions,implemented,,,,,,,,,,,,,,19051,20981,21418,22889,22290,,,,,,,,,,,,,,1352,1507,1605,1761,1794,,,,,,,,,,,,,,1532,1487,1450,1490,1505
CA,2011,ammrecords,implemented,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,,,,,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,,,,,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549
CA,2012,fingerprint,implemented,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,,,,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,,,,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571
CA,2013,capaccess,implemented,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,,,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,,,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582
CA,2013,capliability,implemented,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,,,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,,,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582
CA,2013,dvroremoval,implemented,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,,,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,,,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582
CA,2013,microstamp,implemented,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,,,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,,,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582
CA,2014,defactoreg,implemented,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,1366,,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559
CA,2015,collegeconcealed,implemented,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,1366,1425,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,2015,permit,implemented,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,1366,1425,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,2016,gvro,implemented,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,1366,1425,,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595,
CA,2016,gvrolawenforcement,implemented,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633,,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367,1307,1263,1366,1425,,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595,
CO,2000,immunity,removal,,,,,,,,,,,,,,,,1649,1390,1552,,,,,,,,,,,,,,,,100,66,78,,,,,,,,,,,,,,,,309,350,390
CO,2000,traffickingprohibited,implemented,,,,,,,,,,,,,,,,1649,1390,1552,,,,,,,,,,,,,,,,100,66,78,,,,,,,,,,,,,,,,309,350,390
CO,2000,traffickingprohibitedh,implemented,,,,,,,,,,,,,,,,1649,1390,1552,,,,,,,,,,,,,,,,100,66,78,,,,,,,,,,,,,,,,309,350,390
CO,2001,gunshow,implemented,,,,,,,,,,,,,,,1649,1390,1552,1446,,,,,,,,,,,,,,,100,66,78,100,,,,,,,,,,,,,,,309,350,390,380
CO,2001,gunshowh,implemented,,,,,,,,,,,,,,,1649,1390,1552,1446,,,,,,,,,,,,,,,100,66,78,100,,,,,,,,,,,,,,,309,350,390,380
CO,2001,statechecks,implemented,,,,,,,,,,,,,,,1649,1390,1552,1446,,,,,,,,,,,,,,,100,66,78,100,,,,,,,,,,,,,,,309,350,390,380
CO,2001,statechecksh,implemented,,,,,,,,,,,,,,,1649,1390,1552,1446,,,,,,,,,,,,,,,100,66,78,100,,,,,,,,,,,,,,,309,350,390,380
CO,2003,ccbackground,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2003,ccbackgroundnics,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2003,ccrenewbackground,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2003,ccrevoke,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2003,elementary,implemented,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2003,mayissue,removal,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2003,preemption,removal,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2003,preemptionbroad,removal,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2003,preemptionnarrow,removal,,,,,,,,,,,,,1649,1390,1552,1446,1531,2096,,,,,,,,,,,,,100,66,78,100,111,128,,,,,,,,,,,,,309,350,390,380,363,402
CO,2013,backgroundpurge,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,dvro,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,dvrosurrender,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,dvrosurrendernoconditions,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,magazine,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,mcdv,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,mcdvsurrender,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,mcdvsurrendernoconditions,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,recordsallh,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,universal,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,universalh,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,universalpermit,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CO,2013,universalpermith,implemented,,,1649,1390,1552,1446,1531,2096,2688,2547,2154,2029,2059,1936,2217,2428,2542,2713,,,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,,,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539
CT,2002,relinquishment,implemented,,,,,,,,,,,,,,534,610,661,413,373,,,,,,,,,,,,,,77,59,78,51,46,,,,,,,,,,,,,,110,111,113,85,87
CT,2004,danger,implemented,,,,,,,,,,,,534,610,661,413,373,416,492,,,,,,,,,,,,77,59,78,51,46,54,56,,,,,,,,,,,,110,111,113,85,87,105,112
CT,2005,invoutpatient,implemented,,,,,,,,,,,534,610,661,413,373,416,492,467,,,,,,,,,,,77,59,78,51,46,54,56,65,,,,,,,,,,,110,111,113,85,87,105,112,79
CT,2007,loststolen,implemented,,,,,,,,,534,610,661,413,373,416,492,467,467,548,,,,,,,,,77,59,78,51,46,54,56,65,62,77,,,,,,,,,110,111,113,85,87,105,112,79,78,109
CT,2013,age18longgunpossess,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,age18longgunsale,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,amm18,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,amm21h,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,ammbackground,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,ammpermit,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,ammrestrict,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,magazine,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,onefeature,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,tenroundlimit,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2013,violent,implemented,,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120
CT,2014,permit,implemented,,534,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101
CT,2016,exparte,implemented,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107,
CT,2016,expartedating,implemented,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107,
CT,2016,expartesurrender,implemented,610,661,413,373,416,492,467,467,548,772,792,697,711,631,617,484,746,,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107,
